timestep,demand_el,pv,wind,demand_heat
315,242283.1432552,0.0,0.39156,303896.3968139273
316,239707.774288,0.0,0.34776,273428.63466548733
317,240473.9234789,0.0,0.30079,314833.5422005468
318,250064.6344359,0.0,0.23124,403893.1546344484
319,276575.2425863,0.0,0.18207,393737.2339183017
320,306358.1385464,0.0,0.14744,410924.1766687037
321,315971.9262862,0.0,0.11773,414830.30002106784
322,316581.1533537,0.081722,0.086684,366394.3704517529
323,319114.9841119,0.19784,0.056593,190618.8195953683
324,322318.0415729,0.24148,0.066865,85153.48908153747
325,322142.6580232,0.22345,0.079421,28156.804858225725
326,319701.1343965,0.18917,0.059228,25810.404453373583
327,314905.7789181,0.12726,0.042115,26592.53792165763
328,311633.4911084,0.053661,0.032621,56313.60971645145
329,310336.5759116,0.0,0.024503,151733.8928471053
330,323504.188212,0.0,0.022502,483358.4833995416
331,327750.3162584,0.0,0.026714,815765.207420262
332,322054.9662483,0.0,0.036999,588164.3681496041
333,306108.9092915,0.0,0.055015,476319.2821849852
334,291819.7653441,0.0,0.065307,444251.8099853393
335,284329.0416275,0.0,0.065417,369166.9970300706
336,266652.2259562,0.0,0.055026,455201.6785413159
337,252330.7745128,0.0,0.036812,420787.8059368178
338,242786.2171216,0.0,0.031955,318328.3215916075
339,237446.2495676,0.0,0.031005,304249.9191624946
340,235083.1870027,0.0,0.029617,273746.7138994168
341,237400.0960019,0.0,0.03406,315199.7877184713
342,246903.1151839,0.0,0.040213,404363.0031028528
343,272186.0384862,0.0,0.050632,394195.26801516017
344,302919.6979002,0.0,0.063647,411402.20431740925
345,313770.4012013,0.0,0.073919,415312.8716588295
346,315145.7774598,0.084359,0.072285,366820.59662521846
347,319096.5226856,0.20794,0.079528,190840.5662613077
348,322156.5040929,0.26362,0.10883,85252.54804296122
349,320033.4400697,0.25794,0.17342,29222.73236540369
350,315441.1602804,0.21806,0.22862,26787.50466828672
351,308356.5879422,0.14692,0.24602,27599.24723399238
352,304848.9169473,0.063073,0.27271,58445.46473080739
353,303962.7684855,0.00027026,0.29775,157478.05774689768
354,315459.6217067,0.0,0.31014,501656.9056060968
355,318639.6023849,0.0,0.30274,846647.4960310016
356,311421.1847061,0.0,0.28642,610430.409410655
357,294741.2860543,0.0,0.28736,494351.222514746
358,281707.5190945,0.0,0.28863,461069.7773208139
359,277558.3135362,0.0,0.28624,383142.4910130707
360,262807.6339316,0.0,0.28227,472434.1732406931
361,248915.4106494,0.0,0.28659,436717.50034964416
362,238309.3212466,0.0,0.28964,330379.2242422029
363,231524.7470855,0.0,0.2783,315767.85805950104
364,227154.0044117,0.0,0.26594,284109.8979969804
365,225178.6317988,0.0,0.25472,327132.2539793803
366,221320.1937045,0.0,0.23885,419670.90646982536
367,219044.8229144,0.0,0.21481,409118.2531156518
368,232909.3540572,0.0,0.20041,426976.58956117625
369,248555.4128368,0.0,0.16956,431035.30238970456
370,262687.6346607,0.091501,0.13897,380707.2633159537
371,270819.8929408,0.2314,0.1646,198065.18603218065
372,276658.3190046,0.31736,0.24502,88479.93966191674
373,275167.5588318,0.34265,0.27324,27985.61911991257
374,267962.9872227,0.2898,0.32255,25653.4841932532
375,262553.7893201,0.19659,0.41404,26430.86250213965
376,262036.869384,0.08639,0.51915,55971.23823982515
377,265189.1579228,0.002534,0.61358,150811.39192397334
378,281749.0573037,0.0,0.64783,480419.7948918326
379,290061.3144901,0.0,0.65273,810805.5761685782
380,283539.8156537,0.0,0.64911,584588.4882826183
381,266896.8398545,0.0,0.64836,473423.3901118544
382,260223.0342512,0.0,0.6751,441550.87944750953
383,261298.4123325,0.0,0.68763,366922.5617944093
384,250840.01434,0.0,0.7081,452434.17577192
385,239693.9282182,0.0,0.72421,418229.53018091567
386,228377.0739033,0.0,0.72728,316392.9717167894
387,219395.5900139,0.0,0.76893,302400.16215683304
388,215712.5354693,0.0,0.7869,272082.40811026114
389,212458.709086,0.0,0.79311,313283.4584812436
390,204811.0632459,0.0,0.79782,401904.58569430007
391,195340.3515598,0.0,0.80225,391798.667678776
392,197080.3409875,0.0,0.81419,408900.99047427817
393,208798.7313242,0.0,0.82665,412787.8820187105
394,224670.9425759,0.051356,0.83881,364590.4268677499
395,236167.7957971,0.10563,0.86092,189680.30736829637
396,248144.6461018,0.10694,0.8905,84734.23566862418
397,247941.5704127,0.06994,0.91655,26457.80232146184
398,239375.4686148,0.054844,0.93673,24252.985461340017
399,232443.2030434,0.032835,0.95126,24987.924414713954
400,229406.2984189,0.011109,0.9588,52915.60464292368
401,231090.9035677,0.0,0.96529,142578.15695454433
402,250276.9408382,0.0,0.9725,454192.2731850949
