timestep,demand_el,pv,wind,demand_heat
455,278799.8444541,0.0,0.95262,375693.8592741796
456,258206.1234291,0.0,0.98573,463249.63156265375
457,242827.7553307,0.0,0.99518,428227.3226472641
458,234732.4199032,0.0,0.99749,323956.35746735404
459,229230.9148692,0.0,0.99735,309629.04927469464
460,229304.7605743,0.0,0.99765,278586.5481905993
461,233061.660824,0.0,0.99831,320772.5112023187
462,242929.2931753,0.0,0.99845,411512.1297558282
463,270976.8150643,0.0,0.99845,401164.62939446303
464,303288.9264259,0.0,0.99851,418675.7838521578
465,313378.0958927,0.0,0.99853,422655.5916834521
466,313082.7130721,0.085616,0.9985,373305.9745754031
467,314107.3222311,0.15548,0.9984,194214.62216716068
468,315602.6977604,0.14604,0.99828,86759.81072221522
469,312404.2556559,0.080527,0.99817,32108.57042295061
470,309671.9645652,0.063467,0.99809,29432.85622103805
471,306048.9096561,0.03865,0.99795,30324.7609550089
472,304821.2248079,0.014077,0.99763,64217.14084590122
473,304816.6094513,0.0,0.99722,173029.51839034492
474,318385.7577735,0.0,0.99663,551197.1255939853
475,325954.9425518,0.0,0.99556,930256.6375315968
476,320508.8217966,0.0,0.99526,670712.3599460792
477,305001.2237142,0.0,0.99594,543169.9829882478
478,289170.5506717,0.0,0.99659,506601.8888954429
479,280341.3735492,0.0,0.99742,420979.0344342413
480,261575.3337268,0.0,0.99803,519088.5551710347
481,246847.7309051,0.0,0.9985,479844.74687631737
482,237977.0155734,0.0,0.99854,363005.226726136
483,233555.5039773,0.0,0.99823,346950.94151466066
484,232373.9726948,0.0,0.99786,312166.6568897976
485,234944.7263055,0.0,0.99718,359437.60779025254
486,244821.5893699,0.0,0.99596,461114.7474629295
487,271479.8889307,0.0,0.99369,449519.98592130846
488,304082.7677564,0.0,0.99015,469141.8900686671
489,313493.479807,0.0,0.9847,473601.4137385215
490,312321.1792376,0.10665,0.9822,418303.3202323287
491,312468.870648,0.20835,0.98227,217624.75508888744
492,317019.6122281,0.23085,0.98238,97217.61600282267
493,315907.3112942,0.18924,0.98236,31536.70811934949
494,314015.0150996,0.18514,0.98138,28908.649109403697
495,311038.1101106,0.14878,0.98149,29784.668779385625
496,308661.2014759,0.083322,0.98526,63073.41623869898
497,307031.980606,0.0045477,0.98561,169947.8159764945
498,318658.0638112,0.0,0.98665,541380.1560488329
499,324113.4152795,0.0,0.98868,913688.5157911532
500,320227.2850457,0.0,0.99067,658766.7918264116
501,304701.225537,0.0,0.99306,533495.9790189955
502,290329.0051713,0.0,0.99535,497579.17254973645
503,280945.9852601,0.0,0.99681,413481.2842314711
504,261344.5658982,0.0,0.99708,509843.4479294834
505,244996.9729196,0.0,0.99617,471298.5824502785
506,236486.2554006,0.0,0.99308,356540.00568264566
507,229895.5262156,0.0,0.98659,340771.6516229709
508,229549.3744726,0.0,0.97334,306606.88449367566
509,232152.4355793,0.0,0.94664,353035.9270027179
510,242006.2218609,0.0,0.90225,452902.169380658
511,269052.2113737,0.0,0.82645,441513.9136708929
512,301202.7852553,0.0,0.73384,460786.3464104953
513,313415.0187452,0.0,0.63605,465166.444760405
514,313876.5544025,0.11259,0.54335,410853.2252215253
515,314388.858982,0.26216,0.6225,213748.799475591
516,315791.9273799,0.36644,0.66641,95486.1440280304
517,307239.6716517,0.4109,0.60637,27656.145718467204
518,302324.3169024,0.33065,0.56103,25351.46690859494
519,299162.7976504,0.21205,0.47328,26119.69317855236
520,296416.66049,0.089959,0.42288,55312.29143693441
521,295821.2794922,0.0064264,0.40352,149035.89637173995
522,310936.572266,0.0,0.36031,474763.8348336871
523,315958.0802165,0.0,0.3432,801259.9995655917
524,309390.4278143,0.0,0.33227,577706.1550079816
525,293338.2176564,0.0,0.3106,467849.7984040703
526,278702.9219661,0.0,0.2786,436352.521335816
527,273866.0282785,0.0,0.26708,362602.7994199034
528,257139.976061,0.0,0.29595,447107.6891152199
529,241895.4533032,0.0,0.35447,413305.7332370933
