timestep,heat_demand,electricity_demand,PV,COP_AIR-HP,electricity_price_buy,electricity_price_sell
215,5.077438732,0.442833617,0,1.88034255,0.194626591,-0.091576591
216,4.068906381,0.327926501,0,1.866010671,0.191887447,-0.088837447
217,4.171209008,0.254484629,0,1.857515933,0.189501071,-0.086451071
218,4.264733874,0.213588702,0,1.860338906,0.194896355,-0.091846355
219,4.433078632,0.150109874,0,1.851895613,0.19080839,-0.08775839
220,4.788473122,0.146124656,0,1.854701515,0.194315325,-0.091265325
221,6.023001349,0.14849681,0,1.857515933,0.193692792,-0.090642792
222,8.697812506,0.177911513,0,1.857515933,0.196390434,-0.093340434
223,10.73665458,0.341874764,0,1.849098187,0.211268966,-0.108218966
224,10.15680041,0.311036768,0.002921688,1.846309201,0.243702921,-0.140652921
225,9.726586029,0.335991823,0.029075209,1.854701515,0.261486606,-0.158436606
226,9.184141808,0.4675989,0.06938868,1.860338906,0.262773174,-0.159723174
227,8.66040256,0.441125667,0.112336945,1.871717125,0.261445104,-0.158395104
228,8.398532936,0.449096103,0.137632247,1.877458589,0.259058729,-0.156008729
229,8.211483205,0.496064742,0.154557587,1.88904784,0.251567585,-0.148517585
230,8.305008071,0.491415321,0.137889268,1.891967543,0.248683183,-0.145633183
231,8.473352829,0.58241113,0.13372931,1.891967543,0.250882799,-0.147832799
232,8.791337372,0.442548959,0.040627138,1.891967543,0.249513227,-0.146463227
233,9.053206996,0.399375765,0.002908837,1.886137134,0.252376877,-0.149326877
234,9.408601485,0.488284079,0,1.886137134,0.266217855,-0.163167855
235,9.502126351,0.630708175,0,1.88034255,0.269745541,-0.166695541
236,9.446011432,0.709938103,0,1.88034255,0.255240528,-0.152190528
237,8.940977157,0.638488839,0,1.88034255,0.242291847,-0.139241847
238,7.856088715,0.508969257,0,1.874583461,0.232974607,-0.129924607
239,5.461852155,0.435527385,0,1.868859542,0.21857335,-0.11552335
240,4.376963713,0.327926501,0,1.863170472,0.206039691,-0.102989691
241,4.944087194,0.221274479,0,1.863170472,0.19232322,-0.08927322
242,5.061803556,0.163678592,0,1.866010671,0.189708582,-0.086658582
243,5.277616886,0.150109874,0,1.857515933,0.187965491,-0.084915491
244,5.591527184,0.146124656,0,1.854701515,0.18396053,-0.08091053
245,6.729452015,0.14602977,0,1.849098187,0.189003045,-0.085953045
246,8.769868952,0.146599087,0,1.843528614,0.189459569,-0.086409569
247,10.57485317,0.341874764,0,1.837992492,0.199482346,-0.096432346
248,9.986271357,0.491130663,0.002917404,1.837992492,0.218656354,-0.115606354
249,9.966651963,0.50669199,0.037792069,1.835236882,0.217598049,-0.114548049
250,9.613502878,0.4675989,0.08674166,1.832489521,0.223615865,-0.120565865
251,9.181876218,0.441125667,0.193378266,1.849098187,0.220835219,-0.117785219
252,8.828727133,0.588294071,0.584173905,1.874583461,0.218801612,-0.115751612
253,8.691391377,0.784518609,0.637649461,1.883235385,0.200727412,-0.097677412
254,8.691391377,0.491415321,0.415499375,1.877458589,0.198465543,-0.095415543
255,8.946443495,0.437804652,0.174947748,1.874583461,0.18738446,-0.08433446
256,9.181876218,0.397857587,0.054403994,1.871717125,0.180619604,-0.077569604
257,9.535025303,0.399375765,0.005773116,1.863170472,0.18642991,-0.08337991
258,9.633122272,0.488284079,0,1.857515933,0.19993887,-0.09688887
259,9.652741665,0.794766312,0,1.860338906,0.193879552,-0.090829552
260,9.476167123,0.669042176,0,1.846309201,0.195145368,-0.092095368
261,9.005301675,0.638488839,0,1.846309201,0.186409159,-0.083359159
262,7.926235026,0.535062946,0,1.849098187,0.186284652,-0.083234652
263,5.905437482,0.442833617,0,1.854701515,0.189335063,-0.086285063
264,5.042184163,0.327926501,0,1.857515933,0.183234242,-0.080184242
265,4.203021943,0.221274479,0,1.868859542,0.191078154,-0.088028154
